,PLAYER_ID,GP,MIN,PTS,REB,AST,STL,BLK
0,1629667,118,17.7,6.6,3.4,1.1,0.5,0.4
0,203926,527,20.9,9.2,2.3,0.9,0.2,0.1
0,201580,821,17.0,8.0,5.3,0.4,0.4,1.5
0,203585,285,19.8,5.8,2.8,1.2,0.5,0.2
0,1629162,143,17.0,5.0,1.8,3.5,1.0,0.1
0,203463,556,22.5,9.0,2.3,1.0,0.6,0.2
0,1629001,235,20.7,8.4,3.6,2.8,1.3,0.5
0,1629002,143,14.1,6.1,3.6,0.8,0.5,0.4
0,203114,651,31.8,17.1,4.9,3.8,1.2,0.2
0,201988,820,20.7,9.2,1.7,2.3,0.7,0.1
0,200794,1085,28.1,13.4,7.1,2.2,1.2,1.0
0,1629003,178,20.9,9.7,2.3,2.6,0.5,0.3
0,1630558,75,27.7,11.5,2.2,4.2,0.7,0.3
0,1628378,345,33.7,23.9,4.2,4.5,1.3,0.3
0,1630596,69,33.8,15.0,8.3,2.5,0.8,1.7
0,1628370,309,20.4,10.3,2.3,2.0,0.5,0.2
0,202328,646,27.4,13.0,8.2,2.1,1.1,0.6
0,1630541,52,11.7,4.4,1.5,0.4,0.1,0.2
0,1629875,10,13.7,5.8,1.4,2.4,0.7,0.3
0,1629630,187,32.2,21.2,4.5,7.1,1.0,0.3
0,1629752,52,6.0,1.5,1.2,0.3,0.1,0.1
0,202693,715,24.8,10.9,5.2,1.6,0.8,0.5
0,1628420,280,25.2,10.5,2.3,3.7,0.8,0.2
0,202694,718,27.1,12.4,4.6,1.5,0.7,0.3
0,1628539,84,14.4,5.8,1.3,0.5,0.2,0.2
0,1630530,62,13.9,5.4,2.4,0.6,0.4,0.1
0,1627749,320,25.8,12.5,6.0,4.8,1.4,0.3
0,1627750,345,30.1,16.3,3.6,3.8,1.0,0.3
0,203488,432,15.5,6.2,3.2,0.9,0.3,0.5
0,1629004,220,17.0,6.6,1.8,1.4,0.6,0.1
0,1626204,396,24.1,8.1,6.5,1.9,1.2,0.5
0,1630612,14,4.5,1.1,0.5,0.9,0.1,0.0
0,1630174,98,12.7,4.2,2.2,0.5,0.4,0.1
0,203526,387,16.2,6.0,1.6,2.2,0.7,0.1
0,1627777,305,14.6,6.1,2.0,0.8,0.3,0.1
0,1630227,24,10.9,3.2,1.4,1.7,0.6,0.0
0,1630192,83,13.2,4.9,2.6,0.3,0.3,0.2
0,203457,450,22.4,7.3,6.2,1.1,1.3,1.5
0,1629669,119,15.8,8.1,1.9,1.8,0.4,0.2
0,1628373,269,17.9,5.2,1.8,2.3,0.7,0.2
0,1629134,123,29.4,15.0,2.9,3.0,0.9,0.2
0,203994,411,23.9,12.2,8.5,2.2,0.9,1.2
0,1628021,237,19.3,6.8,3.7,1.0,0.7,0.4
0,1629670,92,15.9,7.2,3.1,0.7,0.5,0.3
0,1626220,370,25.7,6.2,4.8,2.1,0.8,0.4
0,1629643,115,25.1,8.3,4.6,1.9,1.3,0.6
0,1629006,244,20.6,6.4,2.9,1.1,1.0,0.4
0,1630168,98,16.3,6.3,4.6,0.7,0.6,0.9
0,1630171,134,31.0,9.2,3.0,1.9,0.9,0.3
0,203506,462,32.8,17.4,4.6,3.9,1.6,0.5
0,203482,610,22.0,10.1,5.1,2.0,0.8,0.5
0,1626224,327,24.5,10.0,3.2,2.1,0.7,0.1
0,1626162,479,25.2,12.0,4.3,1.0,0.9,0.5
0,1629672,158,19.5,9.8,3.2,1.4,0.3,0.2
0,101108,1155,34.5,18.1,4.5,9.5,2.1,0.1
0,1626166,279,17.9,7.6,2.2,3.2,0.7,0.2
0,203901,500,26.8,10.1,4.0,5.7,1.2,0.3
0,1627780,142,14.5,5.2,2.8,1.1,1.0,0.3
0,1630691,13,13.6,3.8,2.5,0.5,0.0,0.5
0,1629033,87,8.7,2.9,1.3,1.1,0.3,0.1
0,203486,661,22.3,8.3,6.6,2.4,0.8,0.9
0,1627751,416,20.2,7.3,6.1,1.4,0.5,1.3
0,1630197,106,21.9,7.8,5.0,2.2,0.6,0.8
0,1630582,12,5.9,1.1,1.0,0.1,0.1,0.3
0,1629673,184,24.7,13.7,2.6,2.9,0.7,0.2
0,1629645,137,28.5,13.7,3.9,4.7,1.0,0.3
0,1629008,125,24.6,14.1,6.1,1.1,0.6,0.6
0,203490,504,26.0,10.6,5.1,1.5,1.1,0.4
0,1626171,453,21.7,11.1,6.6,1.2,0.6,0.4
0,204001,337,30.8,18.9,7.9,1.6,0.7,1.9
0,203939,511,19.0,7.7,4.6,1.0,0.6,0.5
0,1629619,11,4.7,1.2,0.5,0.3,0.1,0.0
0,1626181,421,22.4,11.3,2.6,1.5,0.8,0.3
0,1630563,50,19.3,5.8,2.3,1.6,0.4,0.5
0,1627752,370,24.2,10.5,3.9,1.7,0.8,0.4
0,1630202,137,16.6,6.9,2.1,1.9,0.5,0.1
0,1630243,10,7.4,4.3,1.6,0.4,0.5,0.1
0,1629674,15,8.0,3.0,2.1,0.4,0.1,0.5
0,1630193,142,21.5,11.4,2.7,2.8,0.6,0.1
0,203944,518,31.2,17.7,9.3,3.6,0.7,0.5
0,1630559,61,23.2,7.3,3.2,1.8,0.5,0.3
0,1629629,133,24.9,10.5,3.2,1.3,1.1,0.4
0,1628432,79,12.1,3.6,1.9,0.9,0.4,0.1
0,1630194,64,7.5,3.2,2.4,0.4,0.7,0.4
0,1629675,177,17.3,9.5,4.2,1.0,0.5,1.0
0,1630208,68,6.3,2.4,1.4,0.2,0.1,0.3
0,1626196,438,29.8,12.0,3.1,2.7,1.1,0.6
0,203085,655,24.2,8.8,2.1,2.2,0.7,0.2
0,1629130,239,27.7,11.9,2.9,1.5,0.5,0.2
0,1629011,230,23.8,8.4,7.5,0.6,0.9,2.0
0,1630526,49,22.2,7.5,5.6,1.0,0.6,0.3
0,1629676,109,21.9,9.1,5.1,1.6,0.8,0.7
0,200765,957,29.9,9.8,4.5,7.9,1.6,0.1
0,201565,672,31.7,18.2,3.3,5.4,0.8,0.3
0,203082,670,24.8,11.2,2.8,1.3,0.8,0.3
0,1626179,477,26.1,12.7,3.9,3.2,0.9,0.2
0,201937,665,30.3,11.1,4.2,7.6,1.8,0.1
0,1626156,424,29.4,17.7,3.5,5.6,1.1,0.3
0,1630346,1,5.3,3.0,0.0,0.0,1.0,0.0
0,1627734,415,28.4,14.4,9.2,3.6,0.7,0.4
0,203967,356,25.2,11.7,5.9,2.0,0.6,0.2
0,203107,388,22.2,6.9,2.9,4.1,0.8,0.2
0,1630648,4,7.6,1.3,2.0,0.0,0.3,0.0
0,1629678,71,11.8,3.5,1.9,0.6,0.2,0.1
0,203471,621,26.5,14.2,2.9,4.7,0.8,0.1
0,1630206,22,9.3,3.8,1.4,0.4,0.4,0.1
0,1630578,72,20.7,9.6,5.5,2.6,0.8,0.9
0,1629012,218,32.9,20.0,3.0,3.3,0.8,0.1
0,1629013,262,23.3,9.0,1.8,1.6,0.4,0.1
0,1630549,32,12.2,6.2,5.0,0.5,0.3,0.5
0,1627783,400,29.5,15.7,6.3,3.1,0.9,0.7
0,1627732,275,33.9,15.9,8.1,7.7,1.7,0.7
0,1630250,9,3.9,1.9,1.1,0.0,0.1,0.1
0,1629014,211,20.7,10.2,2.2,2.0,0.4,0.1
0,1630579,41,13.5,2.2,4.1,0.5,0.3,0.5
0,1630606,17,11.8,3.0,1.4,0.9,0.4,0.2
0,203935,520,29.8,10.5,3.6,4.5,1.6,0.4
0,202397,719,20.0,7.6,2.5,3.9,0.7,0.3
0,1630188,78,13.8,6.7,4.4,0.4,0.2,0.6
0,1630270,9,4.3,0.6,0.7,0.1,0.0,0.0
0,203503,601,21.8,6.1,2.3,1.1,0.4,0.2
0,1630531,2,2.8,1.0,1.0,0.0,0.0,1.0
0,203917,343,19.5,6.7,2.0,1.5,0.4,0.2
0,202362,554,22.9,8.6,4.1,2.9,0.6,0.1
0,1630205,103,14.7,5.3,2.5,0.7,0.5,0.3
0,1630191,139,23.5,8.1,7.7,1.0,0.4,1.2
0,1629622,109,19.3,8.8,2.2,1.1,0.4,0.2
0,1630591,48,27.2,11.8,3.6,4.4,1.2,0.4
0,1630256,148,27.7,11.6,5.4,2.7,1.1,0.5
0,1628369,365,33.4,20.9,6.6,3.0,1.1,0.7
0,1630678,33,21.6,9.6,5.2,1.2,0.4,0.2
0,202066,691,21.4,6.4,2.3,1.7,0.8,0.3
0,1630179,13,4.6,1.0,0.5,0.5,0.4,0.0
0,1628464,306,19.6,7.6,4.9,1.3,0.5,0.9
0,1630271,44,10.4,3.3,1.4,0.9,0.4,0.3
0,1630560,67,17.6,8.5,2.4,1.2,0.5,0.1
0,202738,550,28.3,17.7,2.4,4.8,0.9,0.1
0,1629744,126,9.7,4.0,1.2,0.5,0.2,0.0
0,202691,647,32.9,19.5,3.5,2.3,0.9,0.5
0,202684,730,26.8,9.0,8.4,1.0,0.5,0.7
0,1630550,33,7.9,2.0,1.3,0.6,0.2,0.3
0,1629680,196,21.8,4.8,1.9,1.1,1.6,1.0
0,1629681,54,11.9,3.2,1.6,0.6,0.5,0.4
0,1630214,112,15.9,5.7,3.7,1.2,0.8,0.4
0,1630225,12,6.2,1.7,1.0,0.3,0.3,0.2
0,1630167,134,14.3,6.7,3.0,0.8,0.3,0.4
0,1629308,139,17.1,4.8,3.3,2.2,0.7,0.3
0,1626157,482,34.2,23.2,11.3,3.1,0.8,1.4
0,1629018,204,27.9,13.5,2.2,1.4,1.1,0.2
0,200782,777,29.0,7.1,5.6,1.5,1.1,0.3
0,1629730,39,7.7,3.0,1.0,0.5,0.2,0.0
0,1626167,431,28.7,12.7,6.7,1.2,0.7,2.3
0,202685,695,26.1,13.4,9.5,1.2,0.4,1.0
0,1627832,348,28.3,13.7,3.2,4.9,1.3,0.4
0,1629020,166,18.9,5.4,6.2,1.1,1.0,0.6
0,1630170,133,22.5,9.1,3.6,1.4,0.9,0.4
0,1629216,127,18.3,6.7,1.5,2.2,0.7,0.1
0,202696,741,30.9,16.9,10.4,2.7,0.9,0.9
0,1629731,126,18.0,5.3,3.0,1.0,0.5,0.3
0,1630532,79,30.7,15.2,4.5,2.9,0.9,0.4
0,1629021,196,15.1,7.5,3.5,1.1,0.4,0.3
0,1630688,45,8.0,2.4,1.2,0.3,0.4,0.1
0,202689,741,33.3,19.5,3.8,5.3,1.2,0.4
0,1629022,208,20.4,9.4,2.4,1.6,0.5,0.2
0,202322,613,35.6,19.1,4.3,9.1,1.7,0.7
0,203933,332,28.8,15.5,4.1,1.2,1.0,0.5
0,1629023,187,29.3,11.8,5.7,2.3,0.9,1.0
0,1630613,48,20.2,9.9,1.7,1.8,0.5,0.1
0,1629139,121,12.0,3.8,2.5,0.6,0.4,0.3
0,1630322,25,18.6,8.0,2.9,1.0,0.8,0.3
0,1630570,48,18.1,7.6,4.1,1.7,0.5,0.6
0,1629683,42,6.5,2.1,0.8,0.6,0.3,0.1
0,201566,1021,34.7,22.8,7.4,8.4,1.7,0.3
0,1629632,195,28.2,13.7,3.6,3.5,0.6,0.2
0,1628401,263,25.9,11.5,3.3,3.8,0.8,0.8
0,202355,511,24.7,12.6,10.8,0.6,0.5,2.2
0,1630580,29,7.1,2.1,0.5,0.3,0.1,0.1
0,1630598,50,24.2,8.3,3.6,1.4,0.6,0.2
0,203952,598,35.0,19.3,4.4,2.3,1.0,0.7
0,1629623,19,10.5,4.2,1.3,1.2,0.3,0.1
0,1630314,24,26.7,12.9,3.1,3.9,1.0,0.4
0,1629684,209,19.4,5.4,3.0,1.0,0.5,0.6
0,1629026,200,22.0,6.5,4.5,2.0,0.9,0.3
0,101150,1123,24.1,13.9,2.2,3.4,0.8,0.2
0,1630172,88,27.3,9.2,4.5,1.3,0.8,0.6
