,Players,Salary
222,Cam Reddish\reddica01,$4670160
223,David Nwaba\nwabada01,$4650000
224,Furkan Korkmaz\korkmfu01,$4629630
225,Davion Mitchell\mitchda01,$4603320
226,Ish Smith\smithis01,$4500000
227,Jeff Green\greenje02,$4500000
228,Jalen Smith\smithja04,$4458000
229,Lonnie Walker IV\walkelo01,$4447896
230,Cameron Johnson\johnsca02,$4437000
231,Ziaire Williams\willizi02,$4373160
232,Maurice Harkless\harklma01,$4347600
233,Bobby Portis\portibo01,$4347600
234,Jarred Vanderbilt\vandeja01,$4259259
235,Kevin Huerter\huertke01,$4253357
236,Devin Vassell\vassede01,$4235160
237,P.J. Washington\washipj01,$4215120
238,James Bouknight\bouknja01,$4154400
239,Josh Okogie\okogijo01,$4087904
240,Grayson Allen\allengr01,$4054695
241,Tyrese Haliburton\halibty01,$4023600
242,Tyler Herro\herroty01,$4004280
243,Dorian Finney-Smith\finnedo01,$4000000
244,Terence Davis\daviste02,$4000000
245,George Hill\hillge01,$4000000
246,Gorgui Dieng\dienggo01,$4000000
247,Aaron Holiday\holidaa01,$3980551
248,Joshua Primo\primojo01,$3946800
249,Jake Layman\laymaja01,$3940184
250,Anfernee Simons\simonan01,$3938818
251,Justise Winslow\winslju01,$3902439
252,Kira Lewis Jr.\lewiski01,$3822240
253,Romeo Langford\langfro01,$3804360
254,Facundo Campazzo\campafa01,$3804150
255,Landry Shamet\shamela01,$3768342
256,Chris Duarte\duartch01,$3749520
257,Alex Len\lenal01,$3731707
258,Robert Williams\williro04,$3661976
259,Jevon Carter\carteje01,$4107149
260,Aaron Nesmith\nesmiaa01,$3631200
261,Moses Moody\moodymo01,$3562080
262,Boban Marjanović\marjabo01,$3500000
263,Mike Muscala\muscami01,$3500000
264,Cole Anthony\anthoco01,$3449400
265,Corey Kispert\kispeco01,$3383640
266,Trey Burke\burketr01,$3333333
267,Georges Niang\niangge01,$3300000
268,Chuma Okeke\okekech01,$3277080
269,Isaiah Stewart\stewais01,$3277080
270,Nickeil Alexander-Walker\alexani01,$3261480
271,Alperen Şengün\sengual01,$3214680
272,Nicolas Batum\batumni01,$12213507
273,Jon Leuer\leuerjo01,$3169347
274,Aleksej Pokusevski\pokusal01,$3113160
275,Goga Bitadze\bitadgo01,$3098400
276,Trey Murphy III\murphtr02,$3053760
